ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000001,PTG00020,"Hj. Ana Kusmawati, S.E.",2025-03-22,Transfer
TRX0000002,PTG00073,Cahya Wijaya,2025-05-15,QRIS
TRX0000003,PTG00011,"Dr. Ega Usada, S.E.I",2025-08-25,Transfer
TRX0000004,PTG00016,"Tirta Yuliarti, S.I.Kom",2025-02-12,Kartu Debit
TRX0000005,PTG00078,Dr. Caket Maheswara,2024-10-24,Transfer
TRX0000006,PTG00100,Kemal Riyanti,2024-11-05,Kartu Debit
TRX0000007,PTG00058,Dr. Warsita Hutasoit,2025-03-22,Kartu Debit
TRX0000008,PTG00039,Pangestu Situmorang,2025-02-15,Kartu Debit
TRX0000009,PTG00040,Septi Mulyani,2025-01-10,Tunai
TRX0000010,PTG00079,Cengkal Prasetya,2024-12-14,Tunai
TRX0000011,PTG00098,"Tgk. Febi Latupono, S.E.",2025-06-16,Transfer
TRX0000012,PTG00081,"Drs. Simon Habibi, M.Pd",2025-07-07,Transfer
TRX0000013,PTG00034,"Kunthara Hidayanto, S.Pd",2025-04-17,Tunai
TRX0000014,PTG00021,Dwi Januar,2025-07-07,Transfer
TRX0000015,PTG00023,"Ratna Laksita, S.Psi",2025-01-04,Tunai
TRX0000016,PTG00021,Mumpuni Yolanda,2025-03-07,Tunai
TRX0000017,PTG00053,Edi Safitri,2025-01-19,Kartu Debit
TRX0000018,PTG00089,Galiono Laksita,2024-11-16,Kartu Debit
TRX0000019,PTG00038,Raisa Wahyuni,2025-04-13,Tunai
TRX0000020,PTG00030,"Restu Mangunsong, M.Farm",2025-02-15,QRIS
TRX0000021,PTG00091,Yani Sihotang,2025-05-28,QRIS
TRX0000022,PTG00090,Adhiarja Sihotang,2025-04-04,Kartu Debit
TRX0000023,PTG00010,"Sutan Narji Yuniar, S.Farm",2025-01-23,Transfer
TRX0000024,PTG00034,"dr. Diana Wastuti, S.Psi",2025-02-04,Transfer
TRX0000025,PTG00055,Malika Hassanah,2025-09-25,Tunai
TRX0000026,PTG00070,"T. Jinawi Puspasari, S.IP",2025-03-08,Transfer
TRX0000027,PTG00083,"Luluh Hutapea, S.T.",2024-12-27,Transfer
TRX0000028,PTG00035,"R. Paulin Napitupulu, S.T.",2025-09-18,Transfer
TRX0000029,PTG00010,"Bahuwarna Hutagalung, S.Ked",2025-07-31,Tunai
TRX0000030,PTG00022,Ir. Among Prastuti,2025-09-14,QRIS
TRX0000031,PTG00077,Vivi Rahayu,2025-06-01,QRIS
TRX0000032,PTG00057,Kusuma Rajata,2025-01-10,Tunai
TRX0000033,PTG00060,drg. Martani Maryadi,2025-05-19,QRIS
TRX0000034,PTG00090,Genta Rahmawati,2025-03-11,Kartu Debit
TRX0000035,PTG00035,"Tgk. Diana Hariyah, M.TI.",2025-07-31,Kartu Debit
TRX0000036,PTG00057,Hasta Utama,2025-05-06,Tunai
TRX0000037,PTG00077,Mujur Permadi,2025-05-03,Tunai
TRX0000038,PTG00056,"Drs. Mahdi Marbun, M.TI.",2025-09-14,QRIS
TRX0000039,PTG00078,Endah Nugroho,2024-12-13,QRIS
TRX0000040,PTG00004,Hj. Dalima Laksmiwati,2025-05-27,Tunai
TRX0000041,PTG00030,Azalea Prasetya,2025-10-19,Tunai
TRX0000042,PTG00098,Gina Haryanto,2025-08-11,QRIS
TRX0000043,PTG00074,Gina Gunarto,2025-01-30,Tunai
TRX0000044,PTG00098,Karja Tarihoran,2025-07-06,Transfer
TRX0000045,PTG00061,Mutia Gunawan,2025-03-19,Kartu Debit
TRX0000046,PTG00036,"Gaman Jailani, M.TI.",2024-11-04,Transfer
TRX0000047,PTG00075,"Tgk. Zahra Saptono, M.Farm",2025-06-23,Kartu Debit
TRX0000048,PTG00082,R. Keisha Yolanda,2025-05-19,Kartu Debit
TRX0000049,PTG00012,Rini Yolanda,2025-03-16,Kartu Debit
TRX0000050,PTG00045,"Puti Padma Ramadan, S.Sos",2025-10-03,Kartu Debit
TRX0000051,PTG00043,Kariman Waskita,2025-10-07,QRIS
TRX0000052,PTG00086,"dr. Nova Laksmiwati, M.Ak",2025-03-06,Tunai
TRX0000053,PTG00021,R.M. Irnanto Marbun,2024-10-22,QRIS
TRX0000054,PTG00053,Kamidin Yuniar,2025-01-17,Kartu Debit
TRX0000055,PTG00037,Cakrawala Nashiruddin,2025-02-06,Kartu Debit
TRX0000056,PTG00098,Rahmi Lazuardi,2024-12-20,Tunai
TRX0000057,PTG00059,Heryanto Sitompul,2025-07-03,Tunai
TRX0000058,PTG00041,Jaya Wulandari,2025-07-26,QRIS
TRX0000059,PTG00042,Fathonah Rahayu,2025-04-23,Tunai
TRX0000060,PTG00099,"Rafi Zulkarnain, S.Ked",2024-12-21,Kartu Debit
TRX0000061,PTG00066,Cagak Pertiwi,2025-01-22,Tunai
TRX0000062,PTG00085,Cahyanto Usamah,2025-06-07,Kartu Debit
TRX0000063,PTG00053,Tri Pertiwi,2025-05-07,Tunai
TRX0000064,PTG00025,Caturangga Rajata,2024-12-16,QRIS
TRX0000065,PTG00080,Kariman Waskita,2025-10-13,Kartu Debit
TRX0000066,PTG00081,Hj. Anita Wijayanti,2025-06-09,Kartu Debit
TRX0000067,PTG00098,Chelsea Pratama,2025-09-03,Tunai
TRX0000068,PTG00027,Dr. Novi Narpati,2025-04-12,QRIS
TRX0000069,PTG00071,"drg. Rahayu Megantara, M.Farm",2025-01-13,Transfer
TRX0000070,PTG00037,"R.M. Leo Wahyuni, M.TI.",2025-09-03,Kartu Debit
TRX0000071,PTG00090,Nyoman Siregar,2025-01-30,Kartu Debit
TRX0000072,PTG00016,Rina Rahayu,2025-10-13,Tunai
