ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00001,Yance Utami,e)45Sg*8ZE,+62 (83) 276-4835,Admin
PTG00002,"Cut Ghaliyati Firmansyah, S.Psi",tTf3Crg_&4,(053) 287 1012,Kasir
PTG00003,"Capa Zulaika, S.Farm",W)6S1Mmrhi,+62 (70) 482-8148,Petugas Loket
PTG00004,R.A. Eva Wahyudin,t8Y(Eylq#T,+62 (78) 248 9638,Admin
PTG00005,"H. Muhammad Pangestu, S.Pd",&5%@SO!eq%,+62-0473-829-9737,Kasir
PTG00006,"dr. Dadap Kuswoyo, S.IP",Ip6aZ%Ln_2,+62 (47) 317-8108,Admin
PTG00007,"Cut Cornelia Prakasa, S.E.",ps7PGukg&g,+62 (0309) 805-0097,Supervisor
PTG00008,Dr. Candrakanta Hakim,Wb51FcVX(V,+62 (346) 247 5107,Petugas Loket
PTG00009,Ir. Cinthia Hidayanto,3i^6QKSA(l,+62 (41) 182 4493,Supervisor
PTG00010,"Jasmin Putra, S.T.",(7I!jZ7gbJ,+62-059-826-2045,Petugas Loket
