NIK,Nama_Penumpang,Email,Nomor_Telepon
7543303654145868,Ana Latupono,garda94@example.org,+62 (096) 556-9816
9340608835615951,"Ifa Mayasari, S.Pd",zsimbolon@example.net,+62 (0823) 662-9946
8044369957773872,"Bakiadi Suryono, M.TI.",cengkir34@example.org,+62-200-379-1769
3676320163287083,"Puti Mutia Mansur, M.M.",timbul98@example.com,0872774348
7347143455812236,"Eva Prabowo, S.Pt",vwasita@example.net,(0603) 669 0967
0546688937346706,Salsabila Wastuti,dmarbun@example.org,0806990162
7204653755646417,Pangestu Namaga,tampubolonikin@example.net,+62 (000) 330 9232
7193745299124190,Ratih Wastuti,twidodo@example.org,+62 (093) 149 1905
8651850671657262,"Putri Yulianti, S.T.",bhastuti@example.net,+62 (0531) 473 7996
5075273545494808,Bakiadi Permadi,jlestari@example.org,(0770) 143-6349
