ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000001,PTG00244,Salsabila Najmudin,2025-03-22,Tunai
TRX0000002,PTG00792,Jagaraga Padmasari,2025-04-27,QRIS
TRX0000003,PTG00338,Eka Prasetya,2025-03-04,Kartu Debit
TRX0000004,PTG00826,"Sari Januar, S.Farm",2025-05-10,Transfer
TRX0000005,PTG00958,"R. Cagak Padmasari, S.E.I",2025-07-11,Kartu Debit
TRX0000006,PTG00224,Galur Jailani,2024-11-22,Transfer
TRX0000007,PTG00110,"Tirta Usada, S.Pt",2024-11-28,Transfer
TRX0000008,PTG00220,"Daniswara Hardiansyah, S.IP",2025-01-20,QRIS
TRX0000009,PTG00451,Julia Nainggolan,2024-10-31,Kartu Debit
TRX0000010,PTG00261,"Ir. Artawan Nugroho, S.T.",2025-03-13,Tunai
TRX0000011,PTG00503,Tgk. Paramita Suwarno,2025-03-26,QRIS
TRX0000012,PTG00717,"Ciaobella Narpati, S.Kom",2025-07-23,Tunai
TRX0000013,PTG00325,"R. Elvina Pradana, S.E.",2024-12-13,Kartu Debit
TRX0000014,PTG00487,Kalim Laksmiwati,2025-10-06,Transfer
TRX0000015,PTG00987,Karna Sinaga,2025-08-21,QRIS
TRX0000016,PTG00901,"Zelda Kusmawati, S.Gz",2025-09-29,Transfer
TRX0000017,PTG00372,"KH. Prakosa Permata, S.Pd",2025-10-20,Kartu Debit
TRX0000018,PTG00733,Puti Hilda Kuswandari,2025-01-08,QRIS
TRX0000019,PTG00842,Tgk. Kanda Farida,2024-10-24,QRIS
TRX0000020,PTG00022,Jatmiko Safitri,2025-05-09,Tunai
TRX0000021,PTG00862,Darmanto Kusumo,2024-12-24,Tunai
TRX0000022,PTG00708,"Drs. Fitria Mandala, S.Sos",2025-04-02,Transfer
TRX0000023,PTG00260,Kariman Ardianto,2025-06-29,Kartu Debit
TRX0000024,PTG00317,"Drs. Danu Hassanah, S.Pt",2025-06-16,QRIS
TRX0000025,PTG00925,Leo Pradipta,2025-03-13,Tunai
TRX0000026,PTG00548,Zaenab Palastri,2024-11-17,Transfer
TRX0000027,PTG00879,Tania Rahimah,2025-02-14,Kartu Debit
TRX0000028,PTG00398,KH. Prasetyo Prayoga,2025-05-19,Tunai
TRX0000029,PTG00932,Dalimin Handayani,2025-05-17,Kartu Debit
TRX0000030,PTG00950,Sadina Farida,2025-06-24,QRIS
TRX0000031,PTG00309,"Wani Pradipta, M.Pd",2025-09-29,Tunai
TRX0000032,PTG00959,Darmana Pranowo,2024-12-06,Transfer
TRX0000033,PTG00305,Mumpuni Ramadan,2025-04-10,Transfer
TRX0000034,PTG00881,Lala Narpati,2025-05-31,Transfer
TRX0000035,PTG00938,"dr. Iriana Samosir, S.Ked",2025-02-15,Kartu Debit
TRX0000036,PTG00647,"Dr. Amalia Budiman, S.Psi",2025-04-08,QRIS
TRX0000037,PTG00901,Vega Tamba,2025-10-09,Kartu Debit
TRX0000038,PTG00809,"Wardaya Mayasari, M.TI.",2025-02-22,Tunai
TRX0000039,PTG00281,"R.A. Hani Puspasari, S.IP",2024-12-09,Tunai
TRX0000040,PTG00843,Prayogo Melani,2025-07-06,Kartu Debit
TRX0000041,PTG00483,"Kala Nugroho, M.Farm",2024-10-30,Kartu Debit
TRX0000042,PTG00949,"Gina Maryati, S.Psi",2025-06-30,QRIS
TRX0000043,PTG00735,"R.M. Omar Nasyidah, S.T.",2024-11-11,Kartu Debit
TRX0000044,PTG00898,Rika Puspasari,2025-04-29,Tunai
TRX0000045,PTG00845,Yono Siregar,2025-08-12,Transfer
TRX0000046,PTG00716,Unjani Thamrin,2025-05-08,QRIS
TRX0000047,PTG00519,Betania Wahyudin,2025-01-13,Tunai
TRX0000048,PTG00361,"T. Baktianto Sinaga, S.H.",2025-04-03,Kartu Debit
TRX0000049,PTG00617,"Ami Hassanah, S.Ked",2025-01-12,QRIS
TRX0000050,PTG00465,Lidya Zulaika,2025-03-17,Tunai
TRX0000051,PTG00781,Almira Yuliarti,2025-10-01,Tunai
TRX0000052,PTG00657,"Nalar Wacana, S.Kom",2025-09-30,Transfer
TRX0000053,PTG00646,Bakijan Januar,2025-08-13,Kartu Debit
TRX0000054,PTG00811,"R. Nasim Astuti, S.Pt",2025-05-30,Transfer
TRX0000055,PTG00004,dr. Jessica Prasetya,2024-11-29,Kartu Debit
TRX0000056,PTG00205,R.A. Nurul Putra,2024-10-29,QRIS
TRX0000057,PTG00322,Saadat Nainggolan,2025-07-29,Tunai
