ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00001,"Aswani Haryanto, S.Kom",&(82P2hi!X,+62 (097) 111 2125,Petugas Loket
PTG00002,Hj. Ayu Narpati,Mq3AUvlhg!,+62 (633) 432 4474,Supervisor
PTG00003,Jindra Thamrin,ZLY5LyGR)d,0841834374,Supervisor
PTG00004,Virman Latupono,M(2asP*es+,+62 (427) 820-7979,Petugas Loket
PTG00005,drg. Uchita Wacana,*DcAIqxsP3,+62 (82) 498-3922,Admin
PTG00006,"Ganda Habibi, S.Pt",L02Zrl^5%&,+62-72-517-8637,Admin
PTG00007,"Harimurti Hariyah, S.H.",@)EkmgJH^6,+62-0555-809-9613,Petugas Loket
PTG00008,Jamil Nainggolan,&31+BbJn!1,+62 (051) 602 5298,Supervisor
PTG00009,Silvia Hasanah,H7U7YvlL!N,(086) 120-5943,Petugas Loket
PTG00010,Drs. Ozy Hasanah,#q&$0Ojbi@,+62-75-409-1508,Petugas Loket
PTG00011,"Lala Prayoga, S.E.",DYJ8xc6e@8,+62 (055) 029 1681,Petugas Loket
PTG00012,Suci Sihombing,67aAnf(2&A,(0364) 248-0962,Petugas Loket
PTG00013,"Edi Saputra, S.Ked",I)7W3BAzC&,+62 (867) 805 5557,Admin
PTG00014,Jail Mandasari,$6#p8WTf3y,+62 (99) 295 9660,Petugas Loket
PTG00015,"T. Kala Lestari, S.H.",Wo*8zEm+&g,(094) 551-5888,Supervisor
PTG00016,Genta Waskita,*qHJnioc*7,+62-0299-819-9605,Supervisor
PTG00017,R.A. Eli Purnawati,w@_7GV2cLf,+62 (41) 039 7739,Kasir
PTG00018,Halima Nugroho,l8qt6fUd*I,(048) 198-0770,Kasir
PTG00019,Yessi Widodo,fP+0)Lmnh(,(0341) 517-7345,Petugas Loket
PTG00020,Shakila Handayani,UV7_W4Fi9^,(0422) 294 6430,Kasir
PTG00021,"R.A. Restu Sihombing, S.E.I",fh)IX0IlpB,087 276 0153,Petugas Loket
PTG00022,Farhunnisa Prasetyo,#(24UTyhmk,+62 (058) 148-8810,Admin
PTG00023,Qori Nurdiyanti,g3IzdL#X$&,+62 (0033) 399-7718,Admin
PTG00024,"Dt. Galuh Usada, S.Pt",$2SDOUVo(7,+62 (0694) 725 8784,Admin
PTG00025,"Eja Saptono, M.Pd",T$Ky5OIvM0,+62 (823) 133 4845,Admin
PTG00026,"Dr. Jarwi Jailani, S.Pd",++i)3XSvya,+62 (0524) 555-7469,Supervisor
PTG00027,Vanesa Agustina,Ely6@Bnf!F,+62-987-411-3257,Admin
PTG00028,"Rika Halimah, S.Gz",O_6F*WwFu(,+62 (29) 493 8173,Admin
PTG00029,Queen Palastri,md_4qRgqEj,+62-0755-344-9021,Supervisor
PTG00030,"Hendra Aryani, S.Sos",t0QK#Plk*b,081 979 3164,Petugas Loket
PTG00031,Mila Maryadi,_DR5mCfU!n,+62 (43) 958 7395,Kasir
PTG00032,"Ratih Mangunsong, S.Kom",*R#3JDfqua,+62 (0335) 027 1607,Petugas Loket
PTG00033,"R.A. Kezia Hardiansyah, M.M.",jV)6PGg03*,+62-185-748-1700,Petugas Loket
PTG00034,Wani Andriani,&n1oLl&ZGM,+62-0290-282-2700,Kasir
PTG00035,R.A. Zelaya Wijayanti,%J05Tlbnuk,(054) 950 0507,Admin
PTG00036,Oman Megantara,if0*D4Rm&M,+62-47-742-5859,Admin
PTG00037,"Nasrullah Kuswoyo, M.Kom.",4)*49GHe*4,088 942 5652,Admin
PTG00038,Cut Ulva Winarno,y@Y05HZgp_,(0948) 714 8552,Admin
PTG00039,Jasmin Laksita,b7V%dZx)(L,+62 (476) 818-2683,Kasir
PTG00040,Saadat Zulaika,h$0TRGRRdx,+62-0289-634-0646,Admin
PTG00041,dr. Tugiman Kusmawati,v!*5BuEx%I,+62 (66) 933-5134,Admin
PTG00042,Tugiman Wacana,398CVQQe@5,(0215) 406 4176,Admin
PTG00043,R. Titin Laksita,&3xqQdOd%%,(045) 101-7397,Kasir
PTG00044,Lantar Fujiati,n_W4WDb$*y,(060) 577-9806,Supervisor
PTG00045,"Hj. Uli Astuti, S.Ked",$C99FLracE,+62 (742) 388 5652,Kasir
PTG00046,"Dr. Zamira Irawan, S.Psi",lxB^9RIxZh,+62 (752) 250 1394,Admin
PTG00047,H. Maras Purwanti,H%8&Rqf7eR,+62 (053) 703 8240,Kasir
PTG00048,Genta Prasetya,m_OxpNuT$3,(045) 465 5358,Petugas Loket
PTG00049,Citra Mansur,U*t3ZR*r^D,+62-079-779-6120,Petugas Loket
PTG00050,drg. Kurnia Yulianti,_c!5UwPwOe,+62 (0845) 398-6289,Supervisor
PTG00051,Zelda Ardianto,)0WXRggyWi,+62 (116) 966 6725,Admin
PTG00052,Bakti Saragih,^O1H4WYDn2,+62 (020) 800-5640,Supervisor
