ID_Transaksi,ID_Petugas,Nama_Pembeli,Tgl_Transaksi,Metode_Transaksi
TRX0000001,PTG02792,Cakrabirawa Rahmawati,2025-06-08,Tunai
TRX0000002,PTG06153,Damar Fujiati,2025-10-15,Transfer
TRX0000003,PTG07737,Daru Siregar,2025-03-24,QRIS
TRX0000004,PTG07451,Alambana Simbolon,2025-06-09,Transfer
TRX0000005,PTG03951,"Nadia Manullang, S.Ked",2025-02-13,Transfer
TRX0000006,PTG00543,drg. Emong Budiyanto,2025-04-03,Tunai
TRX0000007,PTG06882,Agnes Pratama,2025-09-21,Tunai
TRX0000008,PTG01851,R. Qori Yuliarti,2024-11-17,Transfer
TRX0000009,PTG07123,Dalima Tarihoran,2025-08-01,QRIS
TRX0000010,PTG02548,Yuni Pratiwi,2025-07-04,Kartu Debit
TRX0000011,PTG04648,Emil Najmudin,2024-11-30,Tunai
TRX0000012,PTG02766,"Tgk. Cengkal Jailani, M.Ak",2025-06-20,Transfer
TRX0000013,PTG03785,Kani Pradana,2025-06-15,QRIS
TRX0000014,PTG02622,drg. Tania Prabowo,2025-04-15,Transfer
TRX0000015,PTG05228,Argono Mangunsong,2024-11-09,QRIS
TRX0000016,PTG06123,drg. Ulva Widiastuti,2024-11-23,Kartu Debit
TRX0000017,PTG03860,Septi Pangestu,2025-07-22,Transfer
TRX0000018,PTG08456,Jumari Lailasari,2025-06-07,QRIS
TRX0000019,PTG06411,Puti Jelita Tamba,2024-10-21,Tunai
TRX0000020,PTG07380,Umi Latupono,2025-10-04,QRIS
TRX0000021,PTG09556,Galiono Suryono,2025-02-05,Tunai
TRX0000022,PTG06441,Embuh Yuniar,2025-06-02,Tunai
TRX0000023,PTG05191,Cut Endah Narpati,2025-03-10,QRIS
TRX0000024,PTG05298,Ade Putra,2025-05-18,Kartu Debit
TRX0000025,PTG01670,Dr. Tedi Napitupulu,2025-02-18,Transfer
TRX0000026,PTG09969,Lidya Permata,2025-02-12,Kartu Debit
TRX0000027,PTG00842,Wasis Agustina,2024-11-15,QRIS
TRX0000028,PTG07741,"Ina Wibowo, S.I.Kom",2025-07-17,QRIS
TRX0000029,PTG01908,"Garda Kuswandari, S.IP",2025-01-14,Tunai
TRX0000030,PTG04757,Perkasa Prasetya,2025-04-19,Transfer
TRX0000031,PTG04404,Tantri Pertiwi,2025-10-15,Transfer
TRX0000032,PTG05250,R. Indah Zulaika,2025-10-19,QRIS
TRX0000033,PTG06446,Kenes Suryatmi,2024-10-27,QRIS
TRX0000034,PTG08485,Qori Gunarto,2025-03-20,Transfer
TRX0000035,PTG03280,Rahmi Tampubolon,2024-12-24,Transfer
TRX0000036,PTG05552,T. Mursinin Rajasa,2025-01-20,Kartu Debit
TRX0000037,PTG01515,Shakila Hastuti,2024-10-22,Kartu Debit
TRX0000038,PTG07091,"Dimaz Winarsih, S.Pt",2025-02-14,QRIS
TRX0000039,PTG03150,"Tirta Susanti, S.Farm",2025-07-02,QRIS
TRX0000040,PTG09672,Kayla Prastuti,2025-01-21,QRIS
TRX0000041,PTG00361,Damar Rahimah,2025-05-31,QRIS
TRX0000042,PTG07410,Wakiman Sirait,2025-03-31,Kartu Debit
TRX0000043,PTG02420,Betania Mayasari,2025-01-03,Kartu Debit
TRX0000044,PTG07420,dr. Anggabaya Wibowo,2024-12-31,Transfer
TRX0000045,PTG08375,Cawisadi Novitasari,2025-09-15,Tunai
TRX0000046,PTG02276,H. Najam Saptono,2025-09-14,Kartu Debit
TRX0000047,PTG07489,"Dt. Estiono Halimah, M.M.",2025-08-14,Tunai
TRX0000048,PTG04866,Salwa Pratama,2025-10-05,Tunai
TRX0000049,PTG00400,Ami Nashiruddin,2024-12-26,QRIS
TRX0000050,PTG06176,Cemani Padmasari,2025-08-07,QRIS
TRX0000051,PTG00861,"Melinda Aryani, S.E.",2025-01-30,Kartu Debit
TRX0000052,PTG09856,"Amelia Prasetya, S.T.",2024-12-29,Tunai
TRX0000053,PTG07773,Michelle Napitupulu,2025-01-06,Transfer
TRX0000054,PTG07079,Gina Puspasari,2025-03-14,Tunai
TRX0000055,PTG08339,Wisnu Yolanda,2025-01-15,QRIS
TRX0000056,PTG07374,Tgk. Ira Prayoga,2024-10-31,QRIS
TRX0000057,PTG02439,Azalea Ramadan,2024-10-31,QRIS
TRX0000058,PTG05956,Arta Wibowo,2025-08-10,Transfer
TRX0000059,PTG01875,KH. Hari Sihotang,2025-02-05,Kartu Debit
TRX0000060,PTG04792,Latika Rajasa,2025-04-02,Transfer
TRX0000061,PTG00567,Ismail Sudiati,2025-03-19,Tunai
TRX0000062,PTG01817,"Pangestu Yolanda, S.Sos",2025-07-05,Tunai
TRX0000063,PTG08606,"Darmana Uwais, M.Pd",2025-09-11,Transfer
TRX0000064,PTG09901,Harja Oktaviani,2025-06-24,QRIS
TRX0000065,PTG04129,Lukita Wahyudin,2025-04-25,QRIS
TRX0000066,PTG02190,"Cut Nadia Maheswara, S.Gz",2025-07-31,Tunai
TRX0000067,PTG01340,Jane Nurdiyanti,2025-06-06,Transfer
TRX0000068,PTG01844,"Kasusra Sitompul, M.Kom.",2025-07-11,QRIS
TRX0000069,PTG09447,"Sutan Parman Wasita, S.E.I",2025-05-26,QRIS
TRX0000070,PTG06925,Rangga Utami,2025-07-27,Transfer
TRX0000071,PTG03085,"dr. Belinda Maryadi, S.Psi",2024-11-16,Transfer
TRX0000072,PTG09209,Dian Suartini,2024-10-25,Tunai
