ID_Petugas,Nama_Petugas,Password,Nomor_Telp,Jabatan
PTG00001,"Eva Pratiwi, S.Gz",3Pi!7EXdkH,+62 (080) 448 7418,Kasir
PTG00002,"dr. Maman Sihotang, S.E.",8hbpVgbQ!z,(006) 864 2348,Supervisor
PTG00003,"Rahayu Wastuti, S.E.I",tQuHI7Zx$3,(066) 413 6772,Admin
PTG00004,Tira Nasyidah,jOzjw9Huk#,+62 (76) 919 2299,Admin
PTG00005,Hani Nugroho,(pM0S7q@+k,+62 (044) 920-0435,Admin
PTG00006,Ghaliyati Pratiwi,J5VHw1RR#W,+62 (296) 641 4674,Kasir
PTG00007,Bakti Palastri,H(5Maa)rA@,+62 (676) 840 3714,Supervisor
PTG00008,Naradi Yuniar,+7rPS2wRgO,+62-29-821-7776,Supervisor
PTG00009,dr. Maya Saefullah,+4V@WpfII7,+62-659-049-0791,Admin
PTG00010,Ilsa Manullang,^1(ZKdNqVG,+62 (007) 562-4275,Admin
PTG00011,Carub Siregar,+)8cPKbIba,+62 (336) 309-5785,Admin
PTG00012,Vicky Jailani,$8Q4p25gsU,+62 (0032) 489-0056,Admin
PTG00013,"Fitria Widiastuti, S.I.Kom",@+32l6CfuI,(073) 227 1548,Kasir
PTG00014,Calista Haryanto,6$0a+EceXh,+62 (099) 171-5679,Supervisor
PTG00015,Cinta Hassanah,$FT4f$Bg35,080 995 6736,Admin
PTG00016,Maryanto Aryani,U^C7(YCu&@,(0274) 351 1319,Admin
PTG00017,Naradi Anggraini,o#44JZ6aK$,+62-14-938-0089,Admin
PTG00018,"Dt. Nrima Winarno, S.Farm",!QL(pm*E6k,+62-019-515-8919,Admin
PTG00019,Laras Halimah,)6ZVlfkjGr,+62 (436) 247-3450,Petugas Loket
PTG00020,Devi Halim,$_eS3gbT2N,+62 (055) 354 5877,Supervisor
PTG00021,Saka Hakim,%nuZ1hoF4T,(090) 125 8160,Admin
PTG00022,Kani Uyainah,Hqp5OipMM%,+62 (09) 782-4904,Petugas Loket
PTG00023,"Fitriani Suwarno, M.Farm",0s!5&Y5b3$,+62 (0893) 070-9004,Petugas Loket
PTG00024,Puti Ellis Santoso,@p2UrQ6qMn,+62 (265) 822 8064,Petugas Loket
PTG00025,"Hj. Elisa Damanik, S.Pd",$8ul9KNe3D,087 203 2143,Petugas Loket
PTG00026,"Gatra Usamah, S.Psi",^%1TOrrw+B,(0271) 809-8469,Petugas Loket
PTG00027,"Nasrullah Rahmawati, M.Kom.",in3k0Tr)f),+62 (817) 424 4165,Kasir
PTG00028,dr. Dirja Samosir,6H0%7xXrmT,(043) 905-7445,Kasir
PTG00029,Hj. Tantri Nugroho,d3HVWLnD$b,+62 (169) 781 6864,Petugas Loket
PTG00030,Diana Gunawan,_1OeFoA2(S,084 456 9425,Supervisor
PTG00031,"Dr. Cemplunk Mahendra, S.Sos",c9Obkw&1%(,+62-094-181-8478,Supervisor
PTG00032,Dinda Kurniawan,x(0FD4GDSl,+62-11-427-4799,Kasir
PTG00033,drg. Gina Laksita,&UdVw_QXq0,+62 (056) 087 2575,Admin
PTG00034,Ana Saptono,lqD1UbLQ%T,+62 (0997) 292 7799,Admin
PTG00035,Zaenab Suwarno,i7#0ElCzak,+62 (49) 420-9625,Petugas Loket
PTG00036,Zalindra Mandasari,6fa3gFKlF_,(0328) 886-2584,Admin
PTG00037,Mitra Ardianto,xn3eI*qeq#,+62-0045-981-8150,Admin
PTG00038,"H. Emil Yolanda, M.Farm",7v8CDqQh4*,+62-16-315-9910,Admin
PTG00039,Hendra Tamba,$8kSCOMm9*,(047) 034 1424,Petugas Loket
PTG00040,Yance Pertiwi,)t(VrCEdV3,+62 (0331) 875 3570,Petugas Loket
PTG00041,Capa Zulkarnain,8jLbJ6F(*D,(0785) 077-4215,Kasir
PTG00042,"drg. Maimunah Prasasta, M.Ak",(5@0E$yG)0,+62 (0242) 146-6518,Supervisor
PTG00043,"Dr. Cakrabuana Mandala, S.E.",#6V@eiwlvC,+62 (0084) 323-7523,Petugas Loket
PTG00044,Luluh Siregar,T*#T1cDv$1,+62 (304) 300-4119,Kasir
PTG00045,"Gamanto Fujiati, M.Ak",^I8Tr$AmAz,+62 (070) 760 1724,Admin
PTG00046,Arta Marbun,3+8I1CLnWy,+62-059-380-2076,Supervisor
PTG00047,Galar Waluyo,D1l7Pm2i@m,+62-88-155-7800,Petugas Loket
PTG00048,Dagel Samosir,Kd8vA@j%#k,086 252 6753,Petugas Loket
